Date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-11-17,173.03333333333333,333.23,57.660000000000004,50.14333333333334,72.85666666666667,52.26,12.066666666666668,2.52,23.646666666666665,2.19,6.88,,,2.0433333333333334,4.376666666666666,,66.88,0.24333333333333332,152.95666666666668,,,83.94000000000001,,0.195
2021-11-18,179.95000000000002,333.32,55.50333333333333,55.38333333333333,73.85666666666667,57.32333333333333,12.020000000000001,1.6633333333333333,22.973333333333333,2.36,9.686666666666667,,,1.7,5.0,,68.47,0.17,176.84333333333333,,,84.54333333333332,,0.19
2021-11-19,204.42333333333332,363.34666666666664,54.57333333333333,54.669999999999995,72.74,59.43,14.706666666666665,2.0533333333333332,21.613333333333333,2.54,8.983333333333333,,,2.6033333333333335,5.456666666666666,,68.64999999999999,0.15333333333333332,197.67666666666665,,,74.34,,0.20500000000000002
2021-11-20,191.01999999999998,354.52666666666664,69.32333333333334,53.336666666666666,83.82666666666667,56.51,14.793333333333335,2.2600000000000002,20.49,2.203333333333333,7.8500000000000005,,,1.846666666666667,4.736666666666666,,64.42,0.19666666666666666,187.01333333333332,,,70.85333333333334,,0.185
2021-11-21,182.67999999999998,325.7033333333333,21.886666666666667,54.370000000000005,46.4,55.953333333333326,9.549999999999999,1.18,20.406666666666666,1.6466666666666665,5.1033333333333335,,,1.45,2.7266666666666666,,55.623333333333335,0.31666666666666665,246.54999999999998,,,99.11000000000001,,0.16
2021-11-22,154.57666666666668,282.49333333333334,5.34,44.61333333333334,27.99666666666667,71.21,9.916666666666666,1.1866666666666668,23.286666666666665,1.2366666666666666,2.8266666666666667,,,0.5966666666666667,1.1500000000000001,,46.05666666666667,0.5499999999999999,288.22333333333336,,,101.56333333333333,,0.185
2021-11-23,125.08,236.63666666666666,60.296666666666674,39.120000000000005,69.02999999999999,34.81,11.74,2.183333333333333,20.753333333333334,1.6600000000000001,4.883333333333334,,,1.32,3.5233333333333334,,58.25,0.39000000000000007,220.58666666666667,,,92.58333333333333,,0.10999999999999999
2021-11-24,154.83333333333334,298.75666666666666,69.44000000000001,67.64666666666666,91.87333333333333,60.34,13.75,1.3966666666666667,12.86,3.5333333333333337,18.7,,,4.79,9.023333333333333,,57.96333333333333,0.23,154.70666666666668,,,94.26333333333334,,0.14500000000000002
2021-11-25,236.50333333333333,347.94666666666666,39.39333333333334,65.90666666666667,66.56333333333333,52.38333333333333,14.283333333333333,1.71,3.2466666666666666,4.44,15.923333333333332,,,5.1066666666666665,9.023333333333333,,66.46,0.19999999999999998,166.32333333333335,,,85.54,,0.13
2021-11-26,199.7166666666667,415.1166666666666,134.44333333333333,61.620000000000005,140.30333333333334,32.5,15.513333333333334,2.186666666666667,4.583333333333333,7.6933333333333325,38.473333333333336,,,8.110000000000001,19.633333333333333,,73.69,0.18000000000000002,134.22,,,72.30333333333333,,0.2
